v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v1_idx,v2_idx
-3.6762,-6.5241,2.95,-3.6761,-6.377,2.95,12401,12422
-5.9747,-16.721,-2.4629e-05,-5.9621,-16.575,-2.397e-05,2,6
-6.2061,-16.702,2.95,-6.0766,-16.725,2.95,9960,9961
-2.1761,-7.2759,-8.9458e-06,-2.0271,-7.2768,-8.8496e-06,1814,1815
3.2511,-10.014,0.52456,3.2511,-10.015,0.67508,5334,5626
-3.2882,-9.9838,2.0134,-3.0772,-9.9902,2.3754,8345,8877
-3.6791,-1.8884,-3.1803e-05,-3.6755,-1.912,3.8743e-06,2742,4407
-3.2251,-3.2286,1.0757e-06,-3.1188,-3.2247,1.1457e-06,4184,4185
-1.5793,-7.869,-8.6358e-06,-1.4297,-7.8556,-8.5179e-06,1702,1703
-4.876,-3.5301,-3.0199e-05,-4.7252,-3.5268,-3.0202e-05,2392,2393
-3.2268,-2.1705,1.2214e-06,-3.0779,-2.1704,1.5974e-06,4358,4359
1.4068,-7.3802,-7.4506e-06,1.5538,-7.3634,-7.4208e-06,1798,1799
-1.2872,-8.1745,4.5252e-05,-1.1379,-8.1749,4.4841e-05,3704,3705
-0.97776,-9.2393,-2.6277e-05,-0.82899,-9.2541,-2.6749e-05,1414,1415
-2.1777,-7.4262,2.9501,-2.0254,-7.4251,2.9501,12166,12167
-4.2748,-7.3844,2.95,-4.1137,-7.3802,2.95,12152,12153
1.1237,-9.8232,-3.1547e-05,1.1218,-9.8234,0.00010609,1132,3096
-5.3875,-10.036,-1.166e-05,-5.537,-9.8873,-1.1674e-05,1008,1100
-2.746,-9.2251,4.7367e-05,-2.6255,-9.2248,4.705e-05,3306,3307
-4.4225,-12.373,-2.7547e-05,-4.2744,-12.382,-2.7405e-05,522,523
-3.5263,-4.1229,-1.8327e-05,-3.3948,-4.119,-1.8147e-05,2292,2293
-11.314,-8.0224,2.95,-11.168,-8.0293,2.95,11914,11915
-1.8763,-9.8257,4.4112e-05,-1.7279,-9.8245,4.3731e-05,3076,3077
-0.8249,-9.8236,-2.8183e-05,-0.81371,-9.8239,4.1333e-05,1119,3083
-4.8774,-6.7753,-6.5863e-06,-4.7253,-6.7761,-6.5736e-06,1918,1919
-5.9764,-16.554,2.95,-5.9603,-16.408,2.95,9965,9970
-0.36611,-8.1758,4.2825e-05,-0.21439,-8.1746,0.0001101,3710,3711
-3.0777,-7.4272,2.95,-2.9178,-7.4384,2.95,12160,12161
-8.775,-9.8239,-2.379e-05,-8.907,-9.8252,2.1254e-06,1078,3063
-6.1974,-16.694,-2.3369e-05,-6.079,-16.732,-2.1494e-05,0,1
-0.22617,-12.674,-3.343e-05,-0.10828,-12.677,-3.4006e-05,478,479
0.67035,-8.6228,0.00010901,0.85969,-8.6311,0.059617,3550,3551
-8.2869,-4.0923,-5.3589e-05,-8.1736,-4.1247,-5.2923e-05,2270,2271
-5.4712,-1.4621,-3.2187e-05,-5.3193,-1.4595,-3.2187e-05,2797,2798
-5.1825,-15.607,2.95,-5.03,-15.602,2.95,10001,10002
0.076746,-9.8268,0.00011759,0.22286,-9.8234,0.00011454,3089,3090
-5.6247,-4.7232,-2.7531e-06,-5.4746,-4.723,-2.8027e-06,2193,2194
-9.9789,-8.0611,2.95,-9.827,-8.0676,2.95,11921,11922
-2.1761,-10.424,-2.5698e-05,-2.0367,-10.438,-2.6169e-05,913,914
-4.2762,-1.4695,-3.2306e-05,-4.125,-1.467,-3.2306e-05,2805,2806
1.8607,-9.2234,0.00011277,2.0276,-9.2266,0.00010275,3337,3338
-4.1262,-3.9749,-2.3131e-05,-3.9755,-3.9732,-2.3189e-05,2313,2314
-11.766,-9.8832,2.95,-11.619,-9.8759,2.95,11017,11018
-4.5765,-12.37,-2.7743e-05,-4.4225,-12.373,-2.7547e-05,521,522
-4.5777,-3.6452,1.7881e-07,-4.4154,-3.6623,1.2622e-07,4105,4106
-9.2335,-9.8246,3.0398e-06,-9.0794,-9.8253,2.6623e-06,3061,3062
-4.4244,-1.8629,-3.1866e-05,-4.4269,-1.9221,3.8445e-06,2737,4402
-2.0264,-10.574,-2.6551e-05,-1.8802,-10.578,-2.7005e-05,885,886
-0.063516,-12.54,0.072054,-0.063497,-12.528,0.38603,2899,4900
-6.079,-16.732,-2.1494e-05,-5.9747,-16.721,-2.4629e-05,1,2
-2.3247,-7.2761,2.9501,-2.1776,-7.2754,2.9501,12225,12226
-4.5701,-15.357,-1.1487e-05,-4.4227,-15.353,-1.1425e-05,61,62
-3.9773,-15.38,-1.0747e-05,-3.8267,-15.374,-1.0355e-05,65,66
-6.5118,-9.8228,0.22486,-6.4371,-9.8231,0.22418,4665,4666
-3.3681,-3.6677,-1.5282e-05,-3.2646,-3.6729,-1.5328e-05,2373,2374
-12.045,-9.9555,1.5741,-12.043,-9.9555,1.8747,7511,8039
0.67345,-9.6731,-3.04e-05,0.67459,-9.6747,0.00011046,1215,3152
3.0704,-9.8771,-3.5803e-05,3.2152,-9.8827,-3.8242e-05,1145,1146
-2.325,-7.4255,2.9501,-2.1777,-7.4262,2.9501,12165,12166
-1.1379,-8.1749,4.4841e-05,-0.97518,-8.1744,4.4408e-05,3705,3706
-4.8773,-15.369,2.95,-4.5691,-15.38,2.95,10026,10028
-11.168,-8.0293,2.95,-11.023,-8.0242,2.95,11915,11916
-4.2744,-12.382,-2.7405e-05,-4.1246,-12.379,-2.7212e-05,523,524
-4.5791,-1.4471,-3.2187e-05,-4.4166,-1.4655,-3.2278e-05,2803,2804
0.38954,-9.5383,-3.0218e-05,0.52568,-9.5267,-2.9747e-05,1291,1292
-11.594,-7.9484,2.3203,-11.372,-7.947,2.3313,8947,8948
2.1992,-9.2255,0.00011219,2.3342,-9.2236,0.00010584,3339,3340
-11.771,-9.9257,-2.1565e-05,-11.623,-9.8807,-1.9054e-05,966,1059
-11.023,-7.9396,2.95,-10.914,-7.9489,2.95,11979,11980
-11.354,-7.9388,0.082565,-11.224,-7.9316,8.6427e-06,3787,3788
-5.6382,-9.8384,-1.1717e-05,-5.537,-9.8873,-1.1674e-05,1099,1100
-0.52554,-9.3741,-2.7955e-05,-0.37558,-9.3745,-2.8414e-05,1355,1356
-3.8246,-1.7228,4.2021e-06,-3.6747,-1.7247,4.1934e-06,4427,4428
-8.3232,-3.5231,-5.5946e-05,-8.176,-3.5268,-5.5231e-05,2379,2380
-3.6257,-13.08,0.84353,-3.5739,-13.073,0.80288,5811,5812
-3.3777,-2.0112,2.7731,-3.2242,-2.0112,2.7749,9939,9940
0.37212,-7.2752,2.95,0.52154,-7.2751,2.95,12243,12244
2.1956,-8.3202,0.0001196,2.342,-8.3231,0.00011895,3667,3668
-8.7578,-9.3711,1.5895e-06,-8.6093,-9.3781,1.1126e-06,3243,3244
-5.7749,-1.4671,-3.1769e-05,-5.623,-1.4646,-3.2187e-05,2795,2796
-2.6266,-7.2767,-9.0444e-06,-2.4769,-7.2771,-9.0601e-06,1811,1812
-10.704,-9.821,7.3314e-06,-10.595,-9.8302,7.0333e-06,3051,3052
-9.6811,-8.0737,2.95,-9.5295,-8.0792,2.95,11923,11924
1.1233,-8.9098,0.86802,1.2577,-8.8875,0.86612,5995,5996
-3.6576,-12.972,2.95,-3.5775,-12.974,2.914,10387,10388
-5.3406,-4.7217,-2.6827e-06,-5.1754,-4.7134,-2.1995e-06,2195,2196
1.863,-9.5245,0.00011121,2.0287,-9.5248,0.00010316,3219,3220
-1.4265,-9.2229,-2.4872e-05,-1.277,-9.2239,-2.5333e-05,1411,1412
-8.9271,-3.2223,-5.9843e-05,-8.7766,-3.2244,-5.9247e-05,2435,2436
-1.2147,-12.454,-3.0041e-05,-1.2517,-12.355,-3.0824e-05,500,529
-0.81273,-8.1759,4.3963e-05,-0.6757,-8.1733,4.3627e-05,3707,3708
-3.671,-2.1496,3.2981e-06,-3.5263,-2.1477,3.3379e-06,4355,4356
-5.0244,-3.9733,-2.0048e-05,-4.8744,-3.9707,-1.996e-05,2307,2308
-2.6249,-8.4753,4.8254e-05,-2.4751,-8.4747,4.7869e-05,3579,3580
-3.2274,-7.2775,2.95,-3.077,-7.2771,2.95,12219,12220
-0.063532,-12.391,0.26435,-0.063599,-12.228,0.38498,4530,4906
1.5777,-7.5749,0.00010218,1.7278,-7.577,0.00010929,3899,3900
-3.511,-13.73,-1.9314e-05,-3.4408,-13.763,-1.7795e-05,315,316
-4.8764,-15.366,-1.1646e-05,-4.7223,-15.36,-1.2196e-05,59,60
-1.4367,-8.3258,4.54e-05,-1.2876,-8.3258,4.5e-05,3643,3644
-5.6184,-15.605,-3.8445e-06,-5.4948,-15.602,-3.624e-06,35,36
1.5791,-7.2776,2.95,1.7307,-7.2733,2.95,12251,12252
-11.623,-9.8807,-1.9054e-05,-11.47,-9.8453,-2.5909e-05,1059,1060
-4.721,-9.5894,2.95,-4.5719,-9.5871,2.95,11227,11228
